typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw
bruecke,bruecke.176,8    -L  88 -    -,L88,Raggaler Straße,RFB 1,8.097,8.161,Plazerabrücke 1,L088 007,1979,6.5,
bruecke,bruecke.294,8    -L  88 -    -,L88,Raggaler Straße,RFB 1,10.986,11.02,Lutzbrücke bei Garsella,L088 010,1951,6.5,
bruecke,bruecke.314,8    -L  88 -    -,L88,Raggaler Straße,RFB 1,10.197,10.222,Grenztobelbrücke,L088 009,2000,6.5,
bruecke,bruecke.506,8    -L  88 -    -,L88,Raggaler Straße,RFB 1,8.21,8.287,Plazerabrücke 2,L088 008,1979,6.5,
bruecke,bruecke.211,8    -L   9 -    -,L9,Rucksteigstraße,RFB 1,1.383,1.61,Hangbrücke,L009 001,1975,6,
bruecke,bruecke.246,8    -L  90 -    -,L90,Buchbodener Straße,RFB 1,0.476,0.565,Seebergtobelbrücke,L090 002,1975,6,
bruecke,bruecke.516,8    -L  90 -    -,L90,Buchbodener Straße,RFB 1,2.296,2.33,Grenztobelbrücke,L090 003,1991,6,
bruecke,bruecke.648,8    -L  90 -    -,L90,Buchbodener Straße,RFB 1,0.176,0.186,Buchholzgrabendurchlass,L090 001,1975,6,
bruecke,bruecke.344,8    -L  91 -    -,L91,Nüziderser Straße,RFB 1,0.835,0.863,Galgentobelbrücke,L091 001,2004,6,
bruecke,bruecke.561,8    -L  91 -    -,L91,Nüziderser Straße,RFB 1,2.821,3.193,Mühlbachdurchlass,L091 002,1992,6,
bruecke,bruecke.156,8    -L  92 -    -,L92,Stallehrer Straße,RFB 1,0.374,0.402,Alfenzbrücke,L092 001,1891,6,
bruecke,bruecke.612,8    -L  92 -    -,L92,Stallehrer Straße,RFB 1,0.326,0.361,Überführung L92,S16 021,1972,6,
bruecke,bruecke.204,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,10.804,10.816,Muttatobelbrücke,L094 007,1945,6,
bruecke,bruecke.263,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,4.291,4.332,Fritzentobelbrücke,L094 004,2002,6,
bruecke,bruecke.532,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,8.09,8.157,Ganttobelbrücke,L094 006,1983,6,
bruecke,bruecke.581,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,0.798,0.827,Regenzombrücke,L094 002,1998,6,
bruecke,bruecke.629,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,7.716,7.732,Tschannatobelbrücke,L094 005,2002,6,
bruecke,bruecke.666,8    -L  94 -    -,L94,Bartholomäberger Straße,RFB 1,2.688,2.799,Grappatobelbrücke,L094 003,1983,6,
bruecke,bruecke.35,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,5.119,5.13,Kuenzentobelbrücke,L095 007,1961,6,
bruecke,bruecke.36,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,3.017,3.1,Litzbrücke in der Höll,L095 004,2016,6,
bruecke,bruecke.229,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,1.978,2.739,Hangbrücke 1,L095 002,1975,6,
bruecke,bruecke.240,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,5.966,5.977,Mesmertobelbrücke,L095 008,1961,6,
bruecke,bruecke.278,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,1.135,1.157,Litzbrücke,L095 001,2004,6,
bruecke,bruecke.309,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,6.405,6.421,Endbachbrücke,L095 009,1961,6,
bruecke,bruecke.338,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,4.426,4.447,Hofstattbrücke,L095 006,1964,6,
bruecke,bruecke.387,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,3.555,3.567,Wasserstallbrücke,L095 005,1964,6,
bruecke,bruecke.467,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,1.391,1.541,Spargewölbemauer (Gehsteig),L095 011,1990,6,
bruecke,bruecke.476,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,2.78,2.833,Hangbrücke 2,L095 003,1975,6,
bruecke,bruecke.555,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,5.468,5.475,Feschatobelbrücke,L095 012,2005,6,
bruecke,bruecke.556,8    -L  95 -    -,L95,Silbertaler Straße,RFB 1,1.05,1.076,Privatzugang u Kellerdecke Dönz Prof 56-59,L095 013,,6,
bruecke,bruecke.12,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,15.752,15.78,Radonatobelbrücke,L097 014,2008,6,
bruecke,bruecke.42,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,15.076,15.109,Langbrücke,L097 013,1999,6,
bruecke,bruecke.63,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,11.629,11.637,Schmiedetobeldurchlass (und Betriebsumkehr S16),S16 002,1979,6,
bruecke,bruecke.93,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,8.169,8.211,Alfenzbrücke Gavril,L097 023,1971,6,
bruecke,bruecke.108,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,3.237,3.285,Spannerbachbrücke (Grubsertobelbach),L097 002,1931,6,
bruecke,bruecke.126,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,17.759,17.782,Glongtobelbrücke DW15,L097 015,1980,6,
