typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.221,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,76,76.518,Litzbrücke,B188 021,2002.0,6.5,,518.0,20.0,,False
bruecke,bruecke.274,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62,62.745,Untere Illbrücke Gaschurn,B188 009,1985.0,6.5,,745.0,37.0,,True
bruecke,bruecke.277,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,84,84.665,Oberwasserkanalbrücke (Radweg),B188 025,1959.0,6.5,,665.0,63.0,,True
bruecke,bruecke.285,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,60,61.0,Obere Illbrücke Gaschurn,B188 005,1996.0,6.5,,1000.0,26.0,,True
bruecke,bruecke.308,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,83,83.48,Obere Illbrücke Lorüns,B188 024,1999.0,6.5,,480.0,23.0,,True
bruecke,bruecke.310,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,75,75.342,Geh- und Radwegunterführung,B188 020,2018.0,6.5,,342.0,4.0,,False
bruecke,bruecke.386,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,85,85.422,Alfenz- und Überlaufkanalbrücke,B188 027,1960.0,6.5,,422.0,62.0,,True
bruecke,bruecke.445,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,66,66.301,Fleischbachbrücke,B188 012,2002.0,6.5,,301.0,20.0,,False
bruecke,bruecke.474,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,67,67.398,Tramosabrücke,B188 014,1962.0,6.5,,398.0,60.0,,True
bruecke,bruecke.507,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,59,59.917,Querungsbauwerk Förderbanddurchlass (VIW),B188 033,2022.0,6.5,,917.0,0.0,,False
bruecke,bruecke.515,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,60,60.617,Gättertobelbrücke,B188 004,1996.0,6.5,,617.0,26.0,,True
bruecke,bruecke.547,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,85,85.501,Radwegunterführung,B188 029,1999.0,6.5,,501.0,23.0,,True
bruecke,bruecke.562,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62,62.802,Gehsteigbrücke über Armco Durchlass (Randbalken),B188 006a,2013.0,6.5,,802.0,9.0,,False
bruecke,bruecke.575,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,65,65.821,Hüttnertobelbrücke,B188 011,1920.0,6.5,,821.0,102.0,,True
bruecke,bruecke.582,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,65,65.204,Balbierbachbrücke,B188 010,2011.0,6.5,,204.0,11.0,,False
bruecke,bruecke.605,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,61,61.546,Garnerabachbrücke,B188 008,1996.0,6.5,,546.0,26.0,,True
bruecke,bruecke.607,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,58,58.682,Querung Kabelkanalbrücke VIW,B188 036,1969.0,6.5,,682.0,53.0,,True
bruecke,bruecke.622,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,70,70.918,Illbrücke Maurenstutz,B188 015,1988.0,6.5,,918.0,34.0,,True
bruecke,bruecke.641,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,61,61.161,Klauserbachdurchlass,B188 007,1996.0,6.5,,161.0,26.0,,True
bruecke,bruecke.650,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62,62.807,Armco Durchlass,B188 006,1985.0,6.5,,807.0,37.0,,True
bruecke,bruecke.336,8    -L  19 -    -,L19,Gaißauer Straße,RFB 1,4,4.661,Rheinbrücke Gaißau - Rheineck (Grenze),L019 001,1962.0,,,661.0,60.0,,True
bruecke,bruecke.6,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,25,25.283,Fußgängerunterführung Levis,B190 022,1980.0,9.0,,283.0,42.0,,True
bruecke,bruecke.11,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,2,2.931,Brunnenbachbrücke 2,B190 065,1920.0,9.0,,931.0,102.0,,True
bruecke,bruecke.20,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,14,14.897,Tuxbachbrücke,B190 085,1995.0,9.0,,897.0,27.0,,True
bruecke,bruecke.27,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58,58.286,Fußgängerunterführung Weihersteig,B190 056,1966.0,9.0,,286.0,56.0,,True
bruecke,bruecke.48,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,20,20.068,Geh- und Radwegbrücke (ehemals nur Gehsteig),B190 086,1975.0,9.0,,68.0,47.0,,True
bruecke,bruecke.55,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58,58.975,Weissenreutebachdurchlass,B190 066,1996.0,9.0,,975.0,26.0,,True
bruecke,bruecke.61,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,16,16.87,Galinabrücke,B190 010,1994.0,9.0,,870.0,28.0,,True
bruecke,bruecke.72,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,31,31.931,Klausbachbrücke,B190 029,1907.0,9.0,,931.0,115.0,,True
bruecke,bruecke.85,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,33,33.573,V101 Überführung B190 Straßenhäuser,A 14 076,1963.0,9.0,,573.0,59.0,,True
bruecke,bruecke.91,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,12,12.646,Durchlass Getzner,B190 007,1897.0,9.0,,646.0,125.0,,True
bruecke,bruecke.100,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59,59.975,Mühlebachbrücke,B190 059,2009.0,9.0,,975.0,13.0,,False
bruecke,bruecke.102,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,56,56.297,Bregenzerachbrücke Lauterach,B190 053,1958.0,9.0,,297.0,64.0,,True
bruecke,bruecke.135,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59,59.285,Parkgarage Haus am Hafen,B190 078,2003.0,9.0,,285.0,19.0,,False
bruecke,bruecke.140,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0.313,Unterführung der Montafonerbahn,B190 001,1960.0,9.0,,313.0,62.0,,True
bruecke,bruecke.142,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0.313,Kugelbeerbachbrücke,B190 090,2022.0,9.0,,313.0,0.0,,False
